id,usedPriceLookUp
PUuQYLQgbQ7fxuM4P3Bj,6000
,4000
,4000
Ni81swkU6EmvJREZ4O5T,3000
bY9FoPeHcKMqTeq9ERPJ,7000
,10000
cjjm2V2NRlyFqmCRJLN1,5000
jy5CO8Vy91k4gg6fRHMJ,25000
FlDuSm0MVjElrI9yCJT2,5000
,6000
qTrMeaJ7YqZSbn3PtXss,4000
cEGlvSa6zk4vKJ4fjYVs,4000
lkEaO18JC6SqULu2Wlso,12000
hze7js8Zzr1Tw675FmyA,3000
siLtBBEDIgAUjWzGgDgT,20000
ubKBHZBfNe9F2VBlyI6H,25000
kNOrTnh3QmENutU2xc7l,7000
zqRdNKYQt5oDTXkR4Uan,12000
6404BNGWC4V71gbYcZDY,8000
,15000
p1gZgv2kG4PqHXC7bSmP,6000
,7000
TkwGUZEpg9M7uQE51rGl,5000
PgWGd0RqipkDQoMylYbV,8000
zAprSIhbSx5yTrROxOOU,5000
BYprPpRKoQd7om8We3qA,5000
0efZdTSdHg3mpHz7MI5u,12000
9fin63L9toYKUGWeadGU,8000
S6uND0eEUZLiQQETAQEE,30000
IkQcepbbVHGSKpr5XwFY,20000
Dd6mdSemmIHCxfzpceCn,3000
4B5hhyFFx5tDsazRu1mb,9000
2m9NCjLDKNWX4hrDN7wd,7000
sgUkzA9wRvi0LcfkUPpw,9000
jNzxqBnWtEVwFwZnkPNE,15000
ii2ORSrYIX8llgpvJE1c,17000
lG6ecKjzq8p82AwpzxO5,10000
oGxKEvm8knrLdChyIRQT,12000
Fpc2soY8SLnG2nRAYJdd,6000
MaST1YQPj2PzophsdkP0,6000
5YYijMnnmiBLUJBFwLNa,17000
Y0Xe4SsDoRdCJYErHVQP,12000
bXVA1x8F7YUhI0ZWFEUV,35000
cEEFoVTIvfT3MSZXDKxP,40000
1aWEUFGdUASbdEW4dWPN,55000
ZHcoyBAWv1lIUjdQaeLW,45000
IdykTaNekLFWZwWhdmN3,20000
U3ppa8YZXkR6bfqhIX5d,30000
qs51aDiwhrExlQS0NVwY,3000
Ki6iceZlwLwmqzCbjMeo,40000
zu7P3ouYvnsADsEubdN5,15000
mu78rDWHPoj6efQXr5rM,50000
m1YlC66dDHgi16jkfrAa,65000
LQ2B2TfZCCYKlWGxAyGq,17000
wjBY5uzU3GDdSWU1N47V,6000
5nYi0xWyHqaFzR6WR19P,6000
